Ticker,Name,Sector,Price,P/E,P/B,P/S,EV/EBITDA,EV/GP,1M Return,3M Return,6M Return,12M Return,PE Percentile,PB Percentile,PS Percentile,EV/EBITDA Percentile,EV/GP Percentile,1M Percentile,3M Percentile,6M Percentile,12M Percentile,Value Score,Momentum Score,Value Rank,Momentum Rank
BYI.JO,Bytes Technology Grp plc,Technology,R92.75,18.0,60621.0,102.0,321.0,135.0,-0.0524,0.0499,-0.22149999999999997,-0.2076,0.6774193548387096,1.0,0.9193548387096773,0.9596774193548387,0.8548387096774194,0.12903225806451613,0.6774193548387096,0.0564516129032258,0.1854838709677419,0.882258064516129,0.2620967741935484,122,102
AEL.JO,Altron Limited A,Technology,R18.78,12.0,178.0,1.0,6.0,2.0,-0.0105,-0.1495,-0.0733,0.0987,0.4516129032258064,0.4193548387096774,0.2701612903225806,0.21774193548387097,0.1693548387096774,0.282258064516129,0.07258064516129031,0.20161290322580644,0.5887096774193548,0.3056451612903226,0.28629032258064513,25,98
DTC.JO,Datatec Ltd,Technology,R60.48,18.0,2742.0,4.0,74.0,16.0,0.008,-0.051100000000000007,0.0345,0.6101,0.6774193548387096,0.8951612903225806,0.6814516129032258,0.7016129032258064,0.721774193548387,0.3951612903225806,0.33467741935483875,0.3870967741935483,0.8870967741935484,0.7354838709677419,0.501008064516129,98,61
KRO.JO,Karooooo Ltd,Technology,"R1,000.22",32.0,895.0,6.0,16.0,9.0,0.07629999999999999,0.1176,0.28809999999999997,0.5490999999999999,0.9193548387096773,0.7338709677419354,0.75,0.6209677419354839,0.5725806451612904,0.7983870967741935,0.8387096774193548,0.8306451612903225,0.879032258064516,0.7193548387096774,0.8366935483870968,95,12
