Ticker,Name,Sector,Price,P/E,P/B,P/S,EV/EBITDA,EV/GP,1M Return,3M Return,6M Return,12M Return,PE Percentile,PB Percentile,PS Percentile,EV/EBITDA Percentile,EV/GP Percentile,1M Percentile,3M Percentile,6M Percentile,12M Percentile,Value Score,Momentum Score,Value Rank,Momentum Rank
ANH.JO,Anheuser-Busch InBev SA NV,Consumer Defensive,"R1,027.76",17.0,2488.0,34.0,114.0,64.0,-0.0317,-0.1588,-0.1182,-0.1144,0.6451612903225806,0.879032258064516,0.8387096774193548,0.7379032258064515,0.8225806451612903,0.1774193548387097,0.0564516129032258,0.12096774193548386,0.25806451612903225,0.7846774193548386,0.1532258064516129,103,115
AVI.JO,AVI Ltd,Consumer Defensive,R98.00,14.0,609.0,2.0,9.0,5.0,0.0946,0.0118,0.1026,-0.1002,0.5524193548387096,0.6854838709677419,0.4879032258064516,0.3629032258064516,0.5,0.8709677419354839,0.5564516129032258,0.5241935483870968,0.2661290322580645,0.5177419354838709,0.5544354838709677,75,51
ADH.JO,ADvTECH Ltd,Consumer Defensive,R32.65,15.0,281.0,2.0,9.0,5.0,0.0304,0.0001,0.0016,0.0271,0.592741935483871,0.5403225806451613,0.4879032258064516,0.3629032258064516,0.5,0.596774193548387,0.48387096774193544,0.3225806451612903,0.4798387096774194,0.4967741935483871,0.470766129032258,69,70
ARL.JO,Astral Foods Ltd,Consumer Defensive,R211.49,14.0,172.0,0.0,10.0,3.0,0.0526,0.2036,0.2897,0.1375,0.5524193548387096,0.41129032258064513,0.0564516129032258,0.41532258064516125,0.3225806451612903,0.7096774193548387,0.879032258064516,0.8387096774193548,0.6774193548387096,0.3516129032258064,0.7762096774193548,33,18
BTI.JO,British American Tob plc,Consumer Defensive,R885.60,27.0,4300.0,76.0,161.0,93.0,-0.08460000000000001,0.0292,0.16399999999999998,0.39740000000000003,0.8830645161290321,0.9193548387096773,0.879032258064516,0.7741935483870966,0.846774193548387,0.08064516129032258,0.6048387096774193,0.6774193548387096,0.8548387096774194,0.8604838709677418,0.5544354838709677,119,51
BID.JO,BID Corporation Ltd,Consumer Defensive,R432.32,18.0,307.0,1.0,11.0,3.0,-0.0127,-0.0512,-0.0501,-0.0192,0.6774193548387096,0.5806451612903225,0.2701612903225806,0.45967741935483863,0.3225806451612903,0.2661290322580645,0.3225806451612903,0.23387096774193547,0.4032258064516129,0.46209677419354833,0.30645161290322576,63,95
COH.JO,Curro Holdings Limited,Consumer Defensive,R11.98,300.0,96.0,1.0,9.0,4.0,0.05,0.3208,0.3788,-0.0888,1.0,0.2379032258064516,0.2701612903225806,0.3629032258064516,0.43548387096774194,0.7016129032258064,0.9354838709677419,0.8870967741935484,0.2983870967741935,0.4612903225806451,0.7056451612903225,61,27
FBR.JO,Famous Brands Ltd,Consumer Defensive,R52.47,10.0,447.0,1.0,6.0,2.0,-0.060899999999999996,-0.1466,-0.12300000000000001,-0.15710000000000002,0.3508064516129032,0.6451612903225806,0.2701612903225806,0.21774193548387097,0.1693548387096774,0.10483870967741934,0.08870967741935484,0.1129032258064516,0.21774193548387097,0.3306451612903226,0.1310483870967742,30,118
OCE.JO,Oceana Group Ltd,Consumer Defensive,R49.95,8.0,74.0,1.0,6.0,3.0,-0.031400000000000004,-0.0495,-0.1383,-0.28300000000000003,0.2258064516129032,0.11693548387096774,0.2701612903225806,0.21774193548387097,0.3225806451612903,0.1854838709677419,0.34677419354838707,0.09677419354838708,0.08870967741935484,0.23064516129032256,0.17943548387096775,15,112
PMR.JO,Premier Group Limited,Consumer Defensive,R150.97,17.0,380.0,1.0,10.0,3.0,0.06559999999999999,0.0564,0.1751,0.456,0.6451612903225806,0.6129032258064516,0.2701612903225806,0.41532258064516125,0.3225806451612903,0.7620967741935484,0.6935483870967741,0.7177419354838709,0.8629032258064515,0.4532258064516129,0.7590725806451613,59,20
RCL.JO,RCL Foods Limited,Consumer Defensive,R9.60,6.0,82.0,0.0,4.0,3.0,-0.009300000000000001,-0.1176,-0.005,0.1368,0.09677419354838708,0.16129032258064516,0.0564516129032258,0.10080645161290322,0.3225806451612903,0.29032258064516125,0.12096774193548386,0.29032258064516125,0.6451612903225806,0.1475806451612903,0.33669354838709675,5,88
SPP.JO,The Spar Group Ltd,Consumer Defensive,R100.59,12.0,297.0,0.0,9.0,2.0,-0.0286,-0.0959,-0.1475,-0.2372,0.4516129032258064,0.5604838709677419,0.0564516129032258,0.3629032258064516,0.1693548387096774,0.2096774193548387,0.1693548387096774,0.08870967741935484,0.13709677419354838,0.3201612903225806,0.15120967741935484,29,116
TBS.JO,Tiger Brands Ltd,Consumer Defensive,R316.74,13.0,262.0,1.0,10.0,4.0,0.0435,0.041100000000000005,0.13849999999999998,0.3104,0.5,0.532258064516129,0.2701612903225806,0.41532258064516125,0.43548387096774194,0.657258064516129,0.6532258064516128,0.6290322580645161,0.8306451612903225,0.4306451612903225,0.6925403225806451,51,30
