Ticker,Name,Sector,Price,P/E,P/B,P/S,EV/EBITDA,EV/GP,1M Return,3M Return,6M Return,12M Return,PE Percentile,PB Percentile,PS Percentile,EV/EBITDA Percentile,EV/GP Percentile,1M Percentile,3M Percentile,6M Percentile,12M Percentile,Value Score,Momentum Score,Value Rank,Momentum Rank
AIP.JO,Adcock Ingram Hldgs Ltd,Healthcare,R72.47,13.0,182.0,1.0,8.0,3.0,0.0054,0.41600000000000004,0.44020000000000004,0.0506,0.5,0.4435483870967742,0.2701612903225806,0.31451612903225806,0.3225806451612903,0.3709677419354838,0.9677419354838709,0.9193548387096773,0.532258064516129,0.37016129032258066,0.6975806451612903,39,29
APN.JO,Aspen Pharmacare Hldgs Ltd,Healthcare,R97.20,22.97345132743363,51.0,1.0,21.0,4.0,-0.042800000000000005,-0.1769,-0.4127,-0.5014,0.7580645161290321,0.0564516129032258,0.2701612903225806,0.6693548387096775,0.43548387096774194,0.1532258064516129,0.02419354838709677,0.016129032258064516,0.03225806451612903,0.4379032258064516,0.056451612903225805,54,122
CLS.JO,Clicks Group Ltd,Healthcare,R353.53,28.0,1317.0,2.0,17.0,8.0,-0.0305,-0.0365,0.0356,-0.0992,0.8991935483870966,0.75,0.4879032258064516,0.6330645161290323,0.5524193548387096,0.20161290322580644,0.3870967741935483,0.3951612903225806,0.27419354838709675,0.6645161290322579,0.314516129032258,86,93
DCP.JO,Dis-Chem Pharmacies Ltd,Healthcare,R32.94,24.0,541.0,1.0,13.0,4.0,0.014199999999999999,0.0154,0.0926,-0.1303,0.8185483870967741,0.6612903225806451,0.2701612903225806,0.532258064516129,0.43548387096774194,0.43548387096774194,0.5725806451612904,0.5080645161290323,0.24193548387096772,0.5435483870967742,0.43951612903225806,78,74
LHC.JO,Life Healthc Grp Hldgs Ltd,Healthcare,R11.88,22.97345132743363,196.0,1.0,5.0,3.0,-0.095,-0.1684,-0.1523,-0.2826,0.7580645161290321,0.4758064516129032,0.2701612903225806,0.16532258064516128,0.3225806451612903,0.04838709677419354,0.03225806451612903,0.08064516129032258,0.09677419354838708,0.3983870967741935,0.06451612903225805,44,121
NTC.JO,Netcare Limited,Healthcare,R14.20,12.0,171.0,1.0,7.0,2.0,0.0441,-0.0026,0.06709999999999999,-0.0828,0.4516129032258064,0.4032258064516129,0.2701612903225806,0.2661290322580645,0.1693548387096774,0.6693548387096775,0.45967741935483863,0.46774193548387094,0.3225806451612903,0.3120967741935484,0.4798387096774193,26,68
