Ticker,Name,Sector,Price,P/E,P/B,P/S,EV/EBITDA,EV/GP,1M Return,3M Return,6M Return,12M Return,PE Percentile,PB Percentile,PS Percentile,EV/EBITDA Percentile,EV/GP Percentile,1M Percentile,3M Percentile,6M Percentile,12M Percentile,Value Score,Momentum Score,Value Rank,Momentum Rank
AGL.JO,Anglo American plc,Basic Materials,R650.10,22.97345132743363,4007.0,26.0,114.0,51.0,0.2,0.2279,0.2718,0.1736,0.7580645161290321,0.9112903225806451,0.8225806451612903,0.7379032258064515,0.782258064516129,0.9596774193548387,0.8951612903225806,0.8225806451612903,0.7419354838709676,0.8024193548387096,0.8548387096774194,108,11
AFE.JO,AECI Limited,Basic Materials,R96.12,25.0,87.0,0.0,5.0,1.0,-0.0932,-0.0529,0.0036,-0.0519,0.846774193548387,0.1693548387096774,0.0564516129032258,0.16532258064516128,0.07258064516129031,0.06451612903225806,0.3064516129032258,0.3387096774193548,0.34677419354838707,0.2620967741935484,0.26411290322580644,20,101
ANG.JO,AngloGold Ashanti plc,Basic Materials,"R1,253.16",19.0,8529.0,83.0,170.0,191.0,0.1918,0.4976,0.7876000000000001,1.6506,0.6975806451612903,0.9596774193548387,0.8951612903225806,0.782258064516129,0.9395161290322579,0.9516129032258064,0.9758064516129032,0.9677419354838709,0.9838709677419354,0.8548387096774193,0.969758064516129,118,4
ARI.JO,African Rainbow Min Ltd,Basic Materials,R184.00,110.0,65.0,3.0,81.0,-175.0,-0.0799,0.0385,0.2306,-0.0679,0.9758064516129032,0.08064516129032258,0.6008064516129032,0.7096774193548387,0.008064516129032258,0.08870967741935484,0.6451612903225806,0.7903225806451613,0.3387096774193548,0.4750000000000001,0.4657258064516129,66,72
BHG.JO,BHP Group Limited,Basic Materials,R483.76,16.0,5151.0,48.0,106.0,59.0,0.0067,0.0935,0.08130000000000001,-0.09609999999999999,0.6169354838709676,0.9354838709677419,0.8548387096774194,0.7177419354838709,0.8145161290322581,0.37903225806451607,0.7903225806451613,0.4758064516129032,0.282258064516129,0.7879032258064516,0.4818548387096774,104,66
AFT.JO,Afrimat Limited,Basic Materials,R40.60,65.0,142.0,1.0,8.0,5.0,0.0784,-0.0852,-0.31829999999999997,-0.4053,0.9516129032258064,0.34677419354838707,0.2701612903225806,0.31451612903225806,0.5,0.8145161290322581,0.1854838709677419,0.04032258064516129,0.06451612903225806,0.4766129032258064,0.2762096774193548,67,99
DRD.JO,DRD Gold Ltd,Basic Materials,R49.57,25.0,48.0,5.0,12.0,13.0,0.3593,1.0128,0.6770999999999999,1.953,0.846774193548387,0.04838709677419354,0.721774193548387,0.4959677419354838,0.6814516129032258,1.0,1.0,0.9435483870967741,1.0,0.5588709677419355,0.9858870967741935,81,2
GLN.JO,Glencore plc,Basic Materials,R80.32,22.97345132743363,2527.0,4.0,113.0,172.0,0.1826,0.1149,0.16579999999999998,-0.1886,0.7580645161290321,0.8870967741935484,0.6814516129032258,0.7258064516129032,0.8951612903225806,0.9354838709677419,0.8306451612903225,0.7016129032258064,0.20161290322580644,0.7895161290322579,0.6673387096774194,106,34
HAR.JO,Harmony GM Co Ltd,Basic Materials,R316.54,14.0,409.0,3.0,7.0,6.0,0.1693,0.2396,0.1334,0.6984,0.5524193548387096,0.6290322580645161,0.6008064516129032,0.2661290322580645,0.532258064516129,0.9193548387096773,0.9032258064516128,0.6129032258064516,0.9112903225806451,0.5161290322580645,0.8366935483870966,74,13
IMP.JO,Impala Platinum Hlgs Ltd,Basic Materials,R221.50,264.0,217.0,2.0,20.0,80.0,0.1855,0.2768,0.831,1.1933,0.9919354838709676,0.5080645161290323,0.4879032258064516,0.6612903225806451,0.8387096774193548,0.9435483870967741,0.9193548387096773,0.9758064516129032,0.9435483870967741,0.6975806451612903,0.9455645161290323,88,8
GFI.JO,Gold Fields Ltd,Basic Materials,R726.81,20.0,10414.0,99.0,181.0,192.0,0.17629999999999998,0.6814,0.7147,1.5868,0.7096774193548387,0.9758064516129032,0.9112903225806451,0.7983870967741935,0.9516129032258064,0.9274193548387096,0.9838709677419354,0.9516129032258064,0.9677419354838709,0.8693548387096774,0.9576612903225806,120,6
KIO.JO,Kumba Iron Ore Ltd,Basic Materials,R327.95,15.0,197.0,2.0,4.0,2.0,0.045700000000000005,0.1012,0.0587,-0.16899999999999998,0.592741935483871,0.48387096774193544,0.4879032258064516,0.10080645161290322,0.1693548387096774,0.6854838709677419,0.8145161290322581,0.4435483870967742,0.2096774193548387,0.36693548387096775,0.5383064516129032,38,57
MNP.JO,Mondi plc,Basic Materials,R243.75,28.0,2257.0,14.0,117.0,35.0,0.0037,-0.14800000000000002,-0.1001,-0.24960000000000002,0.8991935483870966,0.8669354838709676,0.782258064516129,0.75,0.7580645161290321,0.34274193548387094,0.08064516129032258,0.14516129032258063,0.12096774193548386,0.811290322580645,0.1723790322580645,111,113
MKR.JO,Montauk Renewables Inc,Basic Materials,R36.60,105.0,2030.0,29.0,130.0,69.0,-0.0111,-0.20620000000000002,-0.135,-0.5956,0.9677419354838709,0.8225806451612903,0.8306451612903225,0.7661290322580645,0.8306451612903225,0.27419354838709675,0.016129032258064516,0.10483870967741934,0.008064516129032258,0.843548387096774,0.10080645161290322,115,119
NPH.JO,Northam Platinum Hldgs Ltd,Basic Materials,R280.00,74.0,297.0,3.0,22.0,22.0,0.2327,0.4122,1.1371,1.47,0.9596774193548387,0.5604838709677419,0.6008064516129032,0.6814516129032258,0.7338709677419354,0.9677419354838709,0.9596774193548387,0.9919354838709676,0.9516129032258064,0.707258064516129,0.9677419354838709,91,5
PAN.JO,Pan African Resource plc,Basic Materials,R20.65,17.0,7648.0,78.0,176.0,190.0,0.2645,0.7411,0.9103,1.693,0.6451612903225806,0.9516129032258064,0.8870967741935484,0.7903225806451613,0.9274193548387096,0.9838709677419354,0.9919354838709676,0.9838709677419354,0.9919354838709676,0.8403225806451614,0.9879032258064515,114,1
PPC.JO,PPC Limited,Basic Materials,R5.36,17.0,143.0,1.0,5.0,4.0,0.0806,0.044800000000000006,0.11939999999999999,0.3506,0.6451612903225806,0.35887096774193544,0.2701612903225806,0.16532258064516128,0.43548387096774194,0.8225806451612903,0.6612903225806451,0.5887096774193548,0.8387096774193548,0.37499999999999994,0.7278225806451613,40,26
S32.JO,South32 Limited,Basic Materials,R33.18,27.0,1686.0,25.0,122.0,46.0,0.0902,-0.06280000000000001,-0.11320000000000001,-0.23579999999999998,0.8830645161290321,0.782258064516129,0.8145161290322581,0.7580645161290321,0.7741935483870966,0.846774193548387,0.282258064516129,0.12903225806451613,0.14516129032258063,0.8024193548387096,0.35080645161290314,108,85
SAP.JO,Sappi Ltd,Basic Materials,R23.55,8.0,580.0,3.0,34.0,26.0,-0.2217,-0.1681,-0.3469,-0.5153,0.2258064516129032,0.6693548387096775,0.6008064516129032,0.6935483870967741,0.7459677419354839,0.008064516129032258,0.04032258064516129,0.03225806451612903,0.02419354838709677,0.5870967741935484,0.026209677419354836,84,124
SOL.JO,Sasol Limited,Basic Materials,R106.72,10.0,45.0,0.0,3.0,1.0,-0.1592,0.20980000000000001,0.3772,-0.0874,0.3508064516129032,0.03225806451612903,0.0564516129032258,0.0564516129032258,0.07258064516129031,0.016129032258064516,0.8870967741935484,0.879032258064516,0.3064516129032258,0.11370967741935485,0.5221774193548387,2,60
SSW.JO,Sibanye Stillwater Ltd,Basic Materials,R48.95,22.97345132743363,343.0,1.0,9.0,10.0,0.2584,0.3797,1.3659000000000001,1.6431,0.7580645161290321,0.592741935483871,0.2701612903225806,0.3629032258064516,0.596774193548387,0.9758064516129032,0.9435483870967741,1.0,0.9758064516129032,0.5161290322580644,0.9737903225806452,73,3
VAL.JO,Valterra Platinum Ltd,Basic Materials,"R1,191.52",238.0,367.0,3.0,19.0,26.0,0.2891,0.4008,0.6507,0.8634000000000001,0.9838709677419354,0.6048387096774193,0.6008064516129032,0.6532258064516128,0.7459677419354839,0.9919354838709676,0.9516129032258064,0.9354838709677419,0.9193548387096773,0.717741935483871,0.9495967741935483,94,7
