Ticker,Value Score,Value Rank,Momentum Score,Momentum Rank
FFB.JO,0.5032258064516129,70,0.7741935483870968,19
FSR.JO,0.5629032258064516,82,0.6653225806451613,36
FTB.JO,0.4282258064516128,49,0.7580645161290323,21
GFI.JO,0.8693548387096774,120,0.9576612903225806,6
GLN.JO,0.7895161290322579,106,0.6673387096774194,34
GND.JO,0.4338709677419354,52,0.6794354838709677,32
GRT.JO,0.4790322580645161,68,0.689516129032258,31
HAR.JO,0.5161290322580645,74,0.8366935483870966,13
HCI.JO,0.18064516129032254,8,0.34677419354838707,87
HDC.JO,0.2887096774193548,22,0.4848790322580645,65
HMN.JO,0.8741935483870968,121,0.532258064516129,58
HYP.JO,0.439516129032258,55,0.7006048387096773,28
IMP.JO,0.6975806451612903,88,0.9455645161290323,8
INL.JO,0.7153225806451613,92,0.5524193548387096,54
INP.JO,0.725,96,0.5423387096774194,55
ITE.JO,0.25080645161290327,18,0.16129032258064516,114
JSE.JO,0.4419354838709678,56,0.4959677419354839,63
KAP.JO,0.21854838709677415,12,0.03225806451612903,123
KIO.JO,0.36693548387096775,38,0.5383064516129032,57
KRO.JO,0.7193548387096774,95,0.8366935483870968,12
KST.JO,0.7016129032258064,89,0.8306451612903225,14
LHC.JO,0.3983870967741935,44,0.06451612903225805,121
LTE.JO,0.7814516129032258,102,0.3084677419354839,94
MCG.JO,0.564516129032258,83,0.5887096774193549,45
MKR.JO,0.843548387096774,115,0.10080645161290322,119
MNP.JO,0.811290322580645,111,0.1723790322580645,113
MRP.JO,0.4443548387096774,57,0.3185483870967742,90
MSP.JO,0.7161290322580645,93,0.6008064516129032,44
MTH.JO,0.2217741935483871,14,0.6108870967741935,42
MTM.JO,0.16854838709677417,7,0.4979838709677419,62
MTN.JO,0.4290322580645161,50,0.7419354838709676,23
N91.JO,0.8048387096774192,110,0.7923387096774193,17
NED.JO,0.3806451612903226,42,0.3508064516129032,84
NPH.JO,0.707258064516129,91,0.9677419354838709,5
NPN.JO,0.7806451612903225,101,0.8870967741935483,10
NRP.JO,0.7322580645161291,97,0.3891129032258064,80
NTC.JO,0.3120967741935484,26,0.4798387096774193,68
NY1.JO,0.796774193548387,107,0.7379032258064515,25
OCE.JO,0.23064516129032256,15,0.17943548387096775,112
OMN.JO,0.25725806451612904,19,0.467741935483871,71
OMU.JO,0.15241935483870966,6,0.49193548387096764,64
OUT.JO,0.664516129032258,87,0.4536290322580645,73
PAN.JO,0.8403225806451614,114,0.9879032258064515,1
PHP.JO,0.811290322580645,111,0.24798387096774194,104
PIK.JO,0.35645161290322575,34,0.219758064516129,107
PMR.JO,0.4532258064516129,59,0.7590725806451613,20
PPC.JO,0.37499999999999994,40,0.7278225806451613,26
PPH.JO,0.4612903225806451,61,0.2993951612903226,96
PRX.JO,0.8991935483870968,123,0.9133064516129032,9
QLT.JO,0.835483870967742,113,0.5665322580645161,50
RBX.JO,0.1806451612903226,9,0.22177419354838707,106
RCL.JO,0.1475806451612903,5,0.33669354838709675,88
RDF.JO,0.417741935483871,47,0.6572580645161289,38
REM.JO,0.5459677419354838,79,0.5403225806451613,56
RES.JO,0.5120967741935484,71,0.6028225806451613,43
RLO.JO,0.24838709677419354,17,0.3185483870967742,90
